CustomerID,Gender,Age,SeniorCitizen,Tenure_Months,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,DataUsage_GB,Churn
CUST_00020,Male,55,0,2,Month-to-month,Yes,Electronic check,103.1,210.82,1,52.5,Yes
CUST_00021,Female,20,0,18,One year,No,Credit card,67.94,1231.95,0,55.0,No
CUST_00022,Male,76,1,47,One year,No,Credit card,46.12,2165.8,5,56.5,Yes
CUST_00023,Female,22,0,33,Month-to-month,No,Electronic check,33.71,1112.96,0,72.2,No
CUST_00024,Female,30,0,35,Month-to-month,No,Mailed check,68.8,2400.52,1,71.1,No
CUST_00025,Female,64,0,51,Two year,No,Electronic check,92.28,4710.4,1,38.3,No
CUST_00026,Female,63,0,18,Month-to-month,No,Electronic check,116.98,2096.88,1,27.1,No
CUST_00027,Female,78,1,72,Month-to-month,No,Electronic check,106.18,7650.8,1,28.5,No
CUST_00028,Female,48,0,30,Two year,No,Electronic check,40.42,1224.53,0,51.0,No
CUST_00029,Female,72,1,44,Month-to-month,Yes,Mailed check,91.98,4051.71,3,25.3,No
CUST_00030,Female,33,0,53,Month-to-month,No,Credit card,48.91,2605.07,2,57.3,No
CUST_00031,Male,67,1,10,One year,No,Bank transfer,88.35,,4,7.5,No
CUST_00032,Male,49,0,52,Month-to-month,Yes,Mailed check,86.58,4490.2,0,87.4,No
CUST_00033,Female,39,0,49,One year,No,Electronic check,47.24,2313.29,1,22.6,No
CUST_00034,Female,46,0,11,Month-to-month,Yes,Credit card,43.44,471.69,0,37.0,No
CUST_00035,Female,39,0,66,Month-to-month,No,Credit card,30.39,2001.05,0,38.4,No
CUST_00036,Male,60,0,58,Month-to-month,No,Electronic check,25.05,1430.91,1,79.3,No
CUST_00037,Female,20,0,36,Two year,Yes,Mailed check,105.85,3812.18,2,49.9,No
CUST_00038,Male,71,1,33,Month-to-month,Yes,Electronic check,24.98,824.72,1,28.7,No
CUST_00039,Male,27,0,47,Month-to-month,No,Credit card,28.87,1365.51,0,48.6,No
CUST_00040,Male,59,0,13,Month-to-month,Yes,Credit card,43.89,576.04,3,50.9,No
CUST_00041,Male,79,1,40,Month-to-month,No,Mailed check,108.77,4348.88,4,57.7,No
CUST_00042,Male,38,0,68,Month-to-month,No,Bank transfer,53.29,3633.12,3,28.1,No
CUST_00043,Female,33,0,42,Month-to-month,No,Electronic check,39.18,1654.42,0,67.7,No
CUST_00044,Female,29,0,19,One year,No,Bank transfer,91.56,1734.69,0,52.6,No
CUST_00045,Female,19,0,19,Month-to-month,No,Credit card,51.91,988.19,2,79.3,No
CUST_00046,Female,58,0,58,One year,No,Bank transfer,53.34,3108.63,3,46.5,No
CUST_00047,Female,41,0,23,One year,Yes,Electronic check,93.9,2162.91,0,48.5,No
CUST_00048,Male,52,0,54,Month-to-month,Yes,Electronic check,45.17,2430.7,1,46.7,No
CUST_00049,Female,73,1,65,Month-to-month,Yes,Credit card,109.68,7117.72,1,75.0,No
CUST_00050,Female,47,0,12,One year,No,Mailed check,76.14,898.99,0,63.7,No
CUST_00051,Male,74,1,24,One year,Yes,Mailed check,73.78,1750.32,3,35.4,No
CUST_00052,Female,47,0,34,Month-to-month,No,Credit card,46.48,1575.32,1,103.5,No
CUST_00053,Male,64,0,53,Two year,Yes,Electronic check,103.51,5484.25,4,37.2,Yes
CUST_00054,Female,52,0,8,Month-to-month,No,Mailed check,77.27,608.44,1,39.5,No
CUST_00055,Male,36,0,18,Month-to-month,No,Bank transfer,35.55,633.09,2,69.3,No
CUST_00056,Female,67,1,57,Month-to-month,No,Credit card,40.63,2306.36,1,46.8,No
CUST_00057,Female,25,0,5,Two year,No,Bank transfer,66.83,318.33,0,28.4,No
CUST_00058,Male,43,0,26,One year,No,Electronic check,97.96,2545.37,1,74.6,No
CUST_00059,Male,66,1,30,One year,Yes,Mailed check,113.93,3424.57,2,90.0,No
CUST_00060,Male,57,0,54,Month-to-month,No,Electronic check,86.35,4657.79,2,29.5,No
CUST_00061,Male,24,0,13,Month-to-month,Yes,Bank transfer,70.61,929.35,1,74.5,No
CUST_00062,Male,47,0,29,Month-to-month,No,Electronic check,45.07,1308.65,1,40.1,No
CUST_00063,Male,24,0,3,Two year,No,Electronic check,87.29,270.79,1,8.4,No
CUST_00064,Male,20,0,58,Month-to-month,No,Credit card,118.22,6857.31,1,63.0,No
CUST_00065,Male,18,0,2,Month-to-month,Yes,Credit card,67.62,141.96,0,12.6,Yes
CUST_00066,Female,53,0,28,Month-to-month,No,Electronic check,36.21,999.89,2,35.4,Yes
CUST_00067,Female,42,0,2,Two year,Yes,Credit card,30.33,69.09,0,44.5,No
CUST_00068,Male,54,0,7,Month-to-month,No,Electronic check,46.93,328.54,0,49.3,No
CUST_00069,Female,18,0,26,Month-to-month,Yes,Bank transfer,76.94,2011.53,2,71.9,Yes
CUST_00070,Female,32,0,16,Month-to-month,Yes,Credit card,114.68,1832.37,3,37.7,No
CUST_00071,Female,54,0,23,Two year,Yes,Electronic check,49.92,1165.5,1,77.9,No
CUST_00072,Female,30,0,40,Two year,No,Credit card,50.54,2026.9,1,48.2,No
CUST_00073,Male,57,0,60,One year,No,Electronic check,68.12,4078.03,2,28.3,No
CUST_00074,Female,25,0,32,Month-to-month,Yes,Credit card,111.85,3590.62,1,61.9,No
CUST_00075,Male,22,0,15,Month-to-month,No,Mailed check,61.91,918.0,3,86.0,No
CUST_00076,Female,77,1,13,Two year,No,Electronic check,42.32,539.06,1,40.8,Yes
CUST_00077,Female,26,0,5,Month-to-month,No,Mailed check,36.31,,0,29.1,No
CUST_00078,Female,18,0,52,Month-to-month,Yes,Electronic check,65.7,3419.83,4,38.5,No
CUST_00079,Male,53,0,41,Month-to-month,Yes,Mailed check,100.07,4103.5,1,15.3,No
CUST_00080,Female,52,0,53,Two year,No,Electronic check,49.14,2599.13,1,56.1,No
CUST_00081,Male,19,0,50,Month-to-month,Yes,Credit card,71.25,3570.93,0,19.0,No
CUST_00082,Female,57,0,15,One year,No,Mailed check,80.3,1201.79,1,62.8,No
CUST_00083,Male,40,0,7,Two year,No,Credit card,65.05,457.35,1,44.7,No
CUST_00084,Female,26,0,40,Month-to-month,Yes,Electronic check,39.17,1555.49,2,63.9,No
CUST_00085,Male,51,0,28,Month-to-month,Yes,Credit card,112.17,3140.31,1,44.7,No
CUST_00086,Male,63,0,32,Two year,No,Electronic check,76.54,2451.19,2,59.7,No
CUST_00087,Female,31,0,15,Two year,No,Credit card,92.91,1399.04,2,30.2,No
CUST_00088,Male,21,0,70,Two year,No,Mailed check,83.6,5855.68,2,55.6,No
CUST_00089,Female,47,0,65,One year,Yes,Electronic check,119.8,7783.98,1,36.9,No
CUST_00090,Female,48,0,4,Month-to-month,Yes,Credit card,65.63,265.37,3,62.2,Yes
CUST_00091,Female,55,0,11,Two year,No,Electronic check,62.5,697.28,3,47.1,No
CUST_00092,Female,28,0,26,Month-to-month,No,Electronic check,56.01,1441.52,1,72.0,No
CUST_00093,Female,52,0,61,Two year,Yes,Electronic check,56.16,3424.28,3,45.0,No
CUST_00094,Female,25,0,37,Two year,No,Bank transfer,47.58,1762.44,3,35.0,No
CUST_00095,Female,20,0,23,One year,Yes,Electronic check,118.06,2706.23,0,52.7,No
CUST_00096,Female,31,0,40,Two year,Yes,Credit card,107.08,4292.43,2,96.9,No
CUST_00097,Female,77,1,23,One year,No,Bank transfer,51.67,1194.34,2,71.5,No
CUST_00098,Female,30,0,16,Month-to-month,No,Credit card,50.52,818.35,1,34.0,No
CUST_00099,Female,62,0,61,One year,Yes,Bank transfer,30.35,1873.15,0,49.9,No
CUST_00100,Male,49,0,68,Month-to-month,No,Electronic check,107.7,7327.11,1,36.7,No
CUST_00101,Male,51,0,31,One year,Yes,Mailed check,57.18,1769.64,0,32.6,No
CUST_00102,Female,62,0,53,Month-to-month,Yes,Mailed check,77.26,4104.25,1,50.3,No
CUST_00103,Female,78,1,25,Month-to-month,Yes,Electronic check,110.04,2745.06,2,44.8,Yes
CUST_00104,Female,36,0,44,Two year,No,Bank transfer,60.81,2680.28,1,29.2,No
CUST_00105,Female,76,1,12,Two year,No,Credit card,100.69,1218.61,3,36.8,No
CUST_00106,Female,55,0,9,Month-to-month,No,Mailed check,63.03,575.58,2,51.1,No
CUST_00107,Female,33,0,12,One year,Yes,Electronic check,90.09,1095.2,1,38.4,No
CUST_00108,Female,19,0,69,One year,Yes,Electronic check,63.12,4352.44,1,49.7,No
CUST_00109,Female,57,0,54,Two year,Yes,Bank transfer,59.28,3207.99,3,36.0,No
CUST_00110,Male,34,0,54,Month-to-month,Yes,Mailed check,119.07,6430.76,0,59.4,No
CUST_00111,Female,72,1,28,One year,No,Electronic check,81.23,2277.11,3,36.3,No
CUST_00112,Male,51,0,56,Two year,No,Mailed check,56.74,3179.92,0,62.7,No
CUST_00113,Female,59,0,69,Month-to-month,No,Credit card,45.78,3164.34,1,44.2,No
CUST_00114,Female,77,1,58,Two year,Yes,Electronic check,23.98,1390.31,3,7.1,No
CUST_00115,Male,33,0,42,Two year,Yes,Electronic check,90.66,3793.37,2,44.7,No
CUST_00116,Female,55,0,38,Two year,No,Credit card,57.22,2175.74,2,60.1,No
CUST_00117,Male,77,1,68,Month-to-month,Yes,Electronic check,102.13,6948.15,3,38.9,No
CUST_00118,Female,19,0,53,Month-to-month,No,Bank transfer,56.39,2988.08,1,46.1,No
CUST_00119,Female,19,0,33,Two year,Yes,Credit card,57.33,1896.34,4,62.5,No
CUST_00120,Male,43,0,71,Month-to-month,Yes,Bank transfer,97.92,6950.95,1,80.4,No
CUST_00121,Female,30,0,56,One year,Yes,Credit card,68.95,3858.3,0,73.1,No
CUST_00122,Male,73,1,72,Month-to-month,Yes,Credit card,108.49,7825.15,5,52.2,No
CUST_00123,Female,64,0,51,Month-to-month,Yes,Bank transfer,79.01,4052.26,0,61.2,No
CUST_00124,Male,48,0,43,Month-to-month,No,Credit card,44.06,1903.57,1,51.8,No
CUST_00125,Male,77,1,15,One year,No,Mailed check,76.83,1146.66,0,20.0,No
CUST_00126,Female,51,0,38,Month-to-month,No,Bank transfer,20.4,777.46,0,75.3,No
CUST_00127,Female,56,0,15,One year,Yes,Credit card,51.24,770.1,3,76.3,No
CUST_00128,Male,20,0,5,One year,No,Bank transfer,40.8,210.68,3,16.5,No
CUST_00129,Female,25,0,54,One year,No,Credit card,85.42,4614.5,3,42.3,No
CUST_00130,Female,40,0,51,One year,Yes,Credit card,33.6,1719.95,3,80.7,No
CUST_00131,Female,31,0,10,Month-to-month,Yes,Mailed check,49.01,507.98,1,54.4,No
CUST_00132,Male,73,1,12,Month-to-month,No,Mailed check,53.13,619.14,2,30.0,Yes
CUST_00133,Male,79,1,4,Month-to-month,No,Mailed check,20.33,76.25,2,74.4,No
CUST_00134,Male,72,1,18,One year,No,Credit card,24.68,,1,52.3,No
CUST_00135,Male,44,0,36,One year,No,Mailed check,51.11,1839.61,1,75.9,No
CUST_00136,Male,71,1,25,Month-to-month,No,Bank transfer,42.24,1061.82,3,51.7,Yes
CUST_00137,Male,46,0,36,Month-to-month,Yes,Credit card,31.69,1138.97,2,6.9,No
CUST_00138,Male,56,0,67,One year,No,Bank transfer,35.42,2388.48,1,86.1,No
CUST_00139,Male,70,1,9,Month-to-month,No,Mailed check,103.55,943.6,2,27.9,No
CUST_00140,Male,56,0,61,Two year,No,Credit card,88.33,5391.24,2,41.3,No
CUST_00141,Female,18,0,53,Month-to-month,No,Bank transfer,68.41,3642.57,0,74.0,No
CUST_00142,Male,34,0,18,Two year,No,Electronic check,110.89,1999.07,3,95.6,No
CUST_00143,Female,58,0,43,Month-to-month,No,Bank transfer,22.96,987.74,1,48.7,No
CUST_00144,Female,47,0,35,Month-to-month,Yes,Credit card,54.49,1921.97,2,57.2,Yes
CUST_00145,Female,70,1,63,Month-to-month,Yes,Electronic check,102.34,6433.33,2,26.3,No
CUST_00146,Male,30,0,4,Month-to-month,Yes,Mailed check,82.83,332.99,0,44.5,Yes
CUST_00147,Male,38,0,41,Month-to-month,No,Mailed check,118.17,4848.45,0,72.0,No
CUST_00148,Male,36,0,45,Month-to-month,No,Bank transfer,114.45,5148.09,3,56.2,No
CUST_00149,Male,70,1,50,One year,Yes,Mailed check,36.99,1842.26,0,84.7,No
CUST_00150,Female,36,0,28,Month-to-month,No,Bank transfer,117.2,3280.84,1,22.1,No
CUST_00151,Male,74,1,42,One year,No,Bank transfer,114.55,4796.14,1,21.2,Yes
CUST_00152,Male,42,0,69,Month-to-month,No,Bank transfer,57.36,3973.45,3,36.3,No
CUST_00153,Male,39,0,1,Two year,Yes,Bank transfer,118.29,134.32,0,37.3,No
CUST_00154,Male,48,0,39,One year,Yes,Credit card,23.58,920.53,3,69.1,No
CUST_00155,Male,34,0,17,Month-to-month,Yes,Credit card,86.08,1460.17,1,41.8,No
CUST_00156,Female,72,1,35,Month-to-month,No,Electronic check,46.61,1616.75,0,26.4,No
CUST_00157,Male,40,0,46,Month-to-month,Yes,Electronic check,32.95,1508.99,3,57.9,Yes
CUST_00158,Female,49,0,42,Month-to-month,Yes,Mailed check,77.75,3280.48,3,34.6,No
CUST_00159,Male,79,1,39,One year,Yes,Credit card,50.64,1974.85,2,28.1,No
CUST_00160,Female,27,0,49,One year,No,Electronic check,86.68,4242.31,1,71.2,No
CUST_00161,Male,27,0,62,Two year,Yes,Credit card,74.0,4588.35,2,75.9,No
CUST_00162,Male,53,0,38,One year,Yes,Credit card,59.26,2246.45,2,69.6,No
CUST_00163,Female,25,0,23,Two year,No,Mailed check,38.18,862.43,1,33.3,No
CUST_00164,Female,71,1,22,Two year,Yes,Mailed check,80.13,1759.69,1,38.2,No
CUST_00165,Female,69,1,4,Two year,No,Bank transfer,102.92,401.24,1,60.9,No
CUST_00166,Male,37,0,49,Month-to-month,No,Credit card,80.0,3924.3,1,64.8,No
CUST_00167,Female,49,0,59,Month-to-month,Yes,Bank transfer,81.05,4791.37,2,45.4,No
CUST_00168,Male,67,1,68,Month-to-month,Yes,Bank transfer,71.18,4833.37,4,74.1,No
CUST_00169,Male,31,0,71,One year,Yes,Bank transfer,58.82,4178.45,0,9.1,Yes
CUST_00170,Female,67,1,2,Month-to-month,No,Credit card,65.75,131.34,2,38.5,No
CUST_00171,Female,45,0,49,Month-to-month,Yes,Credit card,118.95,5821.38,3,94.3,Yes
CUST_00172,Male,63,0,31,Month-to-month,Yes,Bank transfer,94.97,2921.2,0,49.7,No
CUST_00173,Male,69,1,40,Month-to-month,Yes,Credit card,63.06,2511.99,0,40.4,No
CUST_00174,Female,70,1,48,One year,No,Bank transfer,65.73,3147.26,1,59.5,No
CUST_00175,Female,41,0,51,Month-to-month,No,Electronic check,69.96,3569.56,1,30.9,No
CUST_00176,Female,32,0,43,One year,No,Credit card,85.93,3697.48,0,3.4,No
CUST_00177,Male,39,0,55,One year,Yes,Mailed check,66.6,3675.19,0,110.1,No
CUST_00178,Male,47,0,49,Month-to-month,Yes,Mailed check,88.62,4331.94,3,32.8,No
CUST_00179,Male,21,0,57,One year,No,Bank transfer,52.92,3008.17,1,54.4,No
CUST_00180,Male,30,0,15,One year,Yes,Electronic check,61.06,909.51,2,53.5,No
CUST_00181,Male,76,1,27,Month-to-month,Yes,Credit card,106.41,2871.04,1,59.9,Yes
CUST_00182,Male,40,0,68,Month-to-month,No,Bank transfer,52.89,3598.75,1,34.1,No
CUST_00183,Female,25,0,64,Month-to-month,No,Electronic check,116.44,7456.7,1,0.0,No
CUST_00184,Male,35,0,30,One year,No,Electronic check,37.25,1098.69,1,36.9,No
CUST_00185,Male,29,0,36,One year,Yes,Credit card,44.17,1602.0,0,50.6,No
CUST_00186,Male,72,1,67,Month-to-month,Yes,Mailed check,66.37,4451.35,1,52.1,No
CUST_00187,Female,48,0,49,Month-to-month,Yes,Mailed check,99.74,4896.13,1,81.3,No
CUST_00188,Male,31,0,55,Month-to-month,No,Electronic check,93.16,5099.78,0,44.3,No
CUST_00189,Male,51,0,56,Two year,No,Mailed check,37.45,2105.33,0,54.2,No
CUST_00190,Female,35,0,68,Month-to-month,Yes,Electronic check,43.67,2959.51,2,34.2,No
CUST_00191,Male,73,1,44,Two year,No,Electronic check,77.53,3406.65,2,38.0,No
CUST_00192,Male,51,0,31,Month-to-month,No,Electronic check,49.52,1549.35,3,90.1,No
CUST_00193,Male,28,0,58,One year,Yes,Mailed check,62.23,3616.06,3,35.7,Yes
CUST_00194,Male,58,0,53,One year,No,Bank transfer,68.66,3632.18,2,42.4,Yes
CUST_00195,Male,29,0,23,One year,Yes,Mailed check,79.42,1834.73,1,71.7,Yes
CUST_00196,Female,66,1,28,Month-to-month,No,Bank transfer,45.11,1266.55,1,88.1,No
CUST_00197,Female,32,0,16,One year,Yes,Mailed check,36.31,576.95,6,66.2,No
CUST_00198,Female,74,1,37,Month-to-month,No,Credit card,59.86,2219.44,1,66.3,No
CUST_00199,Male,48,0,21,Month-to-month,Yes,Credit card,28.2,588.47,0,25.0,No
CUST_00200,Male,66,1,17,One year,No,Mailed check,72.68,1239.37,1,60.3,No
CUST_00201,Male,75,1,37,Two year,No,Credit card,103.96,3850.28,2,43.9,Yes
CUST_00202,Female,46,0,19,One year,No,Credit card,31.9,611.09,0,59.5,Yes
CUST_00203,Male,43,0,30,Month-to-month,No,Credit card,31.27,957.43,3,44.4,No
CUST_00204,Male,35,0,45,One year,No,Credit card,28.02,1270.43,2,38.6,No
CUST_00205,Female,49,0,18,One year,Yes,Bank transfer,104.79,1896.15,0,20.8,No
CUST_00206,Male,39,0,62,Two year,Yes,Electronic check,28.07,1735.1,2,48.3,No
CUST_00207,Female,55,0,36,Two year,Yes,Bank transfer,118.35,4245.29,2,53.4,No
CUST_00208,Female,34,0,52,One year,No,Electronic check,55.83,2901.45,1,8.2,No
CUST_00209,Female,40,0,19,Month-to-month,Yes,Electronic check,52.88,999.78,2,37.7,No
CUST_00210,Male,41,0,44,One year,No,Mailed check,29.16,1289.18,2,44.7,No
CUST_00211,Male,67,1,7,One year,No,Mailed check,78.56,547.97,3,61.5,Yes
CUST_00212,Male,25,0,44,Two year,Yes,Mailed check,78.59,3471.14,2,38.2,No
CUST_00213,Male,58,0,68,Month-to-month,Yes,Mailed check,69.38,4700.49,3,62.6,No
CUST_00214,Male,23,0,34,Month-to-month,No,Mailed check,51.1,1734.68,1,55.6,No
CUST_00215,Male,22,0,66,Month-to-month,No,Bank transfer,56.86,3756.36,0,67.4,No
CUST_00216,Male,61,0,69,One year,Yes,Bank transfer,52.05,3581.72,3,39.4,No
CUST_00217,Female,74,1,55,Two year,Yes,Credit card,62.61,3452.86,3,44.4,No
CUST_00218,Male,46,0,10,Month-to-month,No,Bank transfer,54.18,550.51,3,61.4,Yes
CUST_00219,Female,45,0,42,One year,No,Bank transfer,87.55,3672.86,3,29.6,No
CUST_00220,Male,28,0,41,One year,Yes,Mailed check,49.58,2059.21,2,48.7,Yes
CUST_00221,Male,74,1,69,One year,No,Credit card,55.08,3789.61,2,69.8,No
CUST_00222,Male,18,0,10,Month-to-month,No,Bank transfer,63.55,622.0,2,36.7,No
CUST_00223,Female,60,0,10,Two year,Yes,Bank transfer,20.4,199.22,0,56.6,Yes
CUST_00224,Female,36,0,60,Month-to-month,Yes,Credit card,69.21,4154.4,0,50.0,No
CUST_00225,Female,26,0,51,One year,No,Electronic check,45.58,2308.55,1,79.4,No
CUST_00226,Female,44,0,21,Month-to-month,No,Mailed check,25.62,544.11,2,51.6,No
CUST_00227,Male,51,0,8,Month-to-month,Yes,Bank transfer,111.1,913.42,0,60.7,No
CUST_00228,Female,61,0,65,Two year,No,Bank transfer,52.24,3381.79,0,46.7,No
CUST_00229,Male,21,0,30,Month-to-month,Yes,Credit card,62.61,1880.22,1,39.6,No
CUST_00230,Male,53,0,49,Month-to-month,No,Bank transfer,102.73,5043.56,2,54.5,Yes
CUST_00231,Female,35,0,9,One year,Yes,Mailed check,36.68,337.77,1,38.6,No
CUST_00232,Female,32,0,17,One year,No,Bank transfer,105.03,1807.11,2,70.7,No
CUST_00233,Female,68,1,69,One year,No,Electronic check,44.16,3042.61,3,73.5,No
CUST_00234,Female,30,0,58,Month-to-month,No,Mailed check,78.9,4596.28,0,51.4,No
CUST_00235,Female,36,0,57,Month-to-month,Yes,Electronic check,88.57,5047.76,2,41.2,Yes
CUST_00236,Female,66,1,62,Month-to-month,Yes,Credit card,110.5,6845.98,1,54.6,No
CUST_00237,Female,23,0,52,Month-to-month,Yes,Mailed check,80.76,4218.51,5,24.5,No
CUST_00238,Female,65,1,61,Two year,No,Bank transfer,65.32,3981.04,2,34.9,No
CUST_00239,Male,73,1,40,Month-to-month,No,Mailed check,77.23,3099.79,2,28.2,No
CUST_00240,Female,29,0,38,Month-to-month,Yes,Mailed check,40.21,1522.99,2,35.2,Yes
CUST_00241,Female,68,1,43,Month-to-month,Yes,Mailed check,88.91,3810.28,0,37.7,No
CUST_00242,Male,54,0,63,Month-to-month,No,Electronic check,38.69,2424.64,1,24.3,No
CUST_00243,Female,34,0,19,One year,No,Credit card,75.72,1445.83,1,44.7,No
CUST_00244,Male,75,1,50,One year,No,Mailed check,84.76,4227.38,3,46.1,No
CUST_00245,Male,40,0,33,Month-to-month,No,Bank transfer,109.86,3623.22,1,61.5,No
CUST_00246,Female,43,0,13,Month-to-month,Yes,Mailed check,65.02,838.75,1,52.1,Yes
CUST_00247,Male,46,0,62,Month-to-month,Yes,Mailed check,97.53,6038.28,2,78.2,No
CUST_00248,Male,50,0,43,One year,No,Credit card,36.75,1572.81,0,61.8,No
CUST_00249,Male,77,1,49,One year,No,Bank transfer,35.62,1747.44,0,96.8,No
CUST_00250,Male,44,0,36,Month-to-month,No,Bank transfer,72.48,2579.49,3,27.0,No
CUST_00251,Female,42,0,10,Month-to-month,Yes,Electronic check,79.63,804.78,1,69.9,No
CUST_00252,Male,73,1,6,One year,Yes,Bank transfer,83.23,486.46,1,18.6,No
CUST_00253,Female,72,1,57,Two year,No,Bank transfer,94.57,5378.67,0,71.2,No
CUST_00254,Male,27,0,1,Two year,No,Bank transfer,49.49,49.49,3,57.7,Yes
CUST_00255,Male,64,0,71,Month-to-month,No,Mailed check,82.26,5843.21,3,45.5,No
CUST_00256,Male,40,0,58,Month-to-month,No,Electronic check,38.81,2265.85,4,54.2,No
CUST_00257,Male,38,0,21,Month-to-month,No,Bank transfer,41.9,878.54,1,40.2,No
CUST_00258,Female,38,0,56,One year,No,Bank transfer,26.73,1501.3,2,38.3,No
CUST_00259,Female,60,0,20,Two year,Yes,Bank transfer,94.7,1899.39,2,58.8,No
CUST_00260,Male,30,0,54,Month-to-month,Yes,Mailed check,70.7,3825.17,2,17.6,Yes
CUST_00261,Male,54,0,25,Month-to-month,Yes,Mailed check,43.82,1085.43,1,56.6,No
CUST_00262,Female,50,0,28,Month-to-month,No,Electronic check,75.62,2133.4,1,47.5,No
CUST_00263,Male,41,0,5,Month-to-month,No,Credit card,55.42,273.78,0,43.5,No
CUST_00264,Male,61,0,21,Month-to-month,No,Electronic check,103.72,2180.95,3,40.2,Yes
CUST_00265,Male,28,0,18,One year,Yes,Mailed check,72.81,1309.17,3,54.7,No
CUST_00266,Female,34,0,47,Month-to-month,No,Bank transfer,22.98,1075.66,1,70.6,No
CUST_00267,Female,21,0,70,Month-to-month,Yes,Bank transfer,118.51,8305.06,3,94.6,No
CUST_00268,Female,64,0,57,One year,No,Electronic check,27.43,1569.85,4,72.4,No
CUST_00269,Male,42,0,19,Month-to-month,No,Bank transfer,89.6,1680.46,1,66.6,No
CUST_00270,Male,47,0,65,Month-to-month,No,Mailed check,63.73,4146.35,0,34.2,No
CUST_00271,Female,26,0,3,Month-to-month,Yes,Electronic check,44.93,155.77,0,38.1,No
CUST_00272,Female,38,0,42,Two year,Yes,Credit card,87.65,3682.98,1,49.9,No
CUST_00273,Female,37,0,21,One year,Yes,Mailed check,32.59,679.28,0,58.9,No
CUST_00274,Female,36,0,40,Month-to-month,No,Mailed check,105.82,4229.15,2,40.9,Yes
CUST_00275,Male,36,0,67,One year,Yes,Bank transfer,45.06,3013.48,0,73.7,No
CUST_00276,Female,29,0,25,Month-to-month,No,Mailed check,56.15,1392.14,1,36.6,Yes
CUST_00277,Male,54,0,55,One year,No,Mailed check,83.26,4577.69,3,24.8,No
CUST_00278,Female,59,0,52,One year,Yes,Credit card,20.1,1043.46,2,70.7,Yes
CUST_00279,Male,34,0,44,Two year,Yes,Bank transfer,67.27,2966.1,0,54.7,Yes
CUST_00280,Female,54,0,56,Month-to-month,No,Mailed check,109.42,6122.57,4,44.3,Yes
CUST_00281,Female,71,1,55,Two year,No,Bank transfer,88.04,4862.4,0,22.6,No
CUST_00282,Female,65,1,70,Two year,No,Mailed check,58.79,4105.94,2,69.7,No
CUST_00283,Female,56,0,66,Two year,No,Credit card,86.04,5680.27,1,97.6,No
CUST_00284,Male,45,0,19,One year,Yes,Bank transfer,113.66,2152.01,1,59.9,No
CUST_00285,Female,58,0,7,Month-to-month,Yes,Bank transfer,38.78,266.08,1,37.3,Yes
CUST_00286,Male,52,0,63,Month-to-month,Yes,Credit card,73.18,4607.6,0,54.8,No
CUST_00287,Male,64,0,42,Month-to-month,No,Electronic check,43.47,1827.94,3,61.3,Yes
CUST_00288,Male,65,1,42,Month-to-month,No,Mailed check,105.42,,1,60.0,No
CUST_00289,Male,35,0,59,One year,No,Mailed check,92.11,5429.54,2,33.7,No
CUST_00290,Female,31,0,20,One year,Yes,Electronic check,100.11,1987.18,1,39.9,No
CUST_00291,Male,52,0,17,Two year,No,Bank transfer,114.3,1956.82,1,35.1,No
CUST_00292,Male,61,0,27,Month-to-month,No,Bank transfer,43.23,1157.46,3,57.4,No
CUST_00293,Male,58,0,47,Month-to-month,Yes,Credit card,24.87,1166.52,2,48.7,No
